file_name,measures,labels,standard,annotators,reviewers
n01op18-1_01,313,405,1.0.0,Markus Neuwirth,
n01op18-1_02,110,263,1.0.0,Markus Neuwirth,
n01op18-1_03,145,203,1.0.0,Markus Neuwirth,
n01op18-1_04,381,598,1.0.0,Markus Neuwirth,
n02op18-2_01,249,486,1.0.0,Markus Neuwirth,
n02op18-2_02,86,177,1.0.0,Markus Neuwirth,
n02op18-2_03,87,138,1.0.0,Markus Neuwirth,
n02op18-2_04,412,468,1.0.0,Markus Neuwirth,
n03op18-3_01,269,383,1.0.0,Markus Neuwirth,
n03op18-3_02,151,394,1.0.0,Markus Neuwirth,
n03op18-3_03,168,278,1.0.0,Markus Neuwirth,
n03op18-3_04,364,569,1.0.0,Markus Neuwirth,
n04op18-4_01,219,554,1.0.0,Markus Neuwirth,
n04op18-4_02,261,369,1.0.0,Markus Neuwirth,
n04op18-4_03,98,145,1.0.0,Markus Neuwirth,
n04op18-4_04,217,386,1.0.0,Markus Neuwirth,
n05op18-5_01,225,430,1.0.0,Markus Neuwirth,
n05op18-5_02,105,168,1.0.0,Markus Neuwirth,
n05op18-5_03,139,247,1.0.0,Markus Neuwirth,
n05op18-5_04,300,567,1.0.0,Markus Neuwirth,
n06op18-6_01,264,374,1.0.0,Markus Neuwirth,
n06op18-6_02,79,265,1.0.0,Markus Neuwirth,
n06op18-6_03,68,168,1.0.0,Markus Neuwirth,
n06op18-6_04,296,464,1.0.0,Markus Neuwirth,
n07op59-1_01,400,482,1.0.0,Markus Neuwirth,
n07op59-1_02,476,635,1.0.0,Markus Neuwirth,
n07op59-1_03,132,374,1.0.0,Markus Neuwirth,
n07op59-1_04,327,605,1.0.0,Markus Neuwirth,
n08op59-2_01,255,445,1.0.0,Markus Neuwirth,
n08op59-2_02,157,326,1.0.0,Markus Neuwirth,
n08op59-2_03,134,262,1.0.0,Markus Neuwirth,
n08op59-2_04,409,567,1.0.0,Markus Neuwirth,
n09op59-3_01,269,515,1.0.0,Markus Neuwirth,
n09op59-3_02,207,481,1.0.0,Markus Neuwirth,
n09op59-3_03,96,177,1.0.0,Markus Neuwirth,
n09op59-3_04,428,699,1.0.0,Markus Neuwirth,
n10op74_01,262,446,1.0.0,Markus Neuwirth,
n10op74_02,169,304,1.0.0,Markus Neuwirth,
n10op74_03,467,447,1.0.0,Markus Neuwirth,
n10op74_04,195,322,1.0.0,Markus Neuwirth,
n11op95_01,151,245,1.0.0,Markus Neuwirth,
n11op95_02,192,353,1.0.0,Markus Neuwirth,
n11op95_03,207,364,1.0.0,Markus Neuwirth,
n11op95_04,175,326,1.0.0,Markus Neuwirth,
n12op127_01,282,558,1.0.0,Markus Neuwirth,
n12op127_02,126,542,1.0.0,Markus Neuwirth,
n12op127_03,289,428,1.0.0,Markus Neuwirth,
n12op127_04,299,689,1.0.0,Markus Neuwirth,
n13op130_01,236,723,1.0.0,Markus Neuwirth,
n13op130_02,107,181,1.0.0,Markus Neuwirth,
n13op130_03,89,450,1.0.0,Markus Neuwirth,
n13op130_04,150,295,1.0.0,Markus Neuwirth,
n13op130_05,66,189,1.0.0,Markus Neuwirth,
n13op130_06,493,626,1.0.0,Markus Neuwirth,
n14op131_01,120,334,1.0.0,Markus Neuwirth,
n14op131_02,197,354,1.0.0,Markus Neuwirth,
n14op131_03,10,30,1.0.0,Markus Neuwirth,
n14op131_04,276,659,1.0.0,Markus Neuwirth,
n14op131_05,499,599,1.0.0,Markus Neuwirth,
n14op131_06,27,68,1.0.0,Markus Neuwirth,
n14op131_07,387,522,1.0.0,Markus Neuwirth,
n15op132_01,264,622,1.0.0,Markus Neuwirth,
n15op132_02,238,479,1.0.0,Markus Neuwirth,
n15op132_03,211,506,1.0.0,Markus Neuwirth,
n15op132_04,46,113,1.0.0,Markus Neuwirth,
n15op132_05,404,732,1.0.0,Markus Neuwirth,JH (1.0.0)
n16op135_01,193,398,1.0.0,Markus Neuwirth,
n16op135_02,272,376,1.0.0,Markus Neuwirth,
n16op135_03,54,178,1.0.0,Markus Neuwirth,
n16op135_04,282,562,1.0.0,Markus Neuwirth,